                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.69258,                0.39825,                0.99789,                0.68455,                0.80805,                0.83046,                0.63691,                0.88291,                0.96385,                 1.1508,              0.0090496,              0.0090496,              0.0090496
                     98,                0.69282,                0.39514,                 1.0018,                0.88142,                0.89044,                0.92257,                0.70463,                0.73744,                 0.5116,                0.93347,              0.0090397,              0.0090397,              0.0090397
                     99,                0.69707,                0.39668,                 0.9986,                0.90848,                0.84429,                0.91944,                  0.691,                0.74725,                0.56082,                0.94274,              0.0090298,              0.0090298,              0.0090298
                    100,                0.68442,                0.39021,                0.99523,                0.87565,                 0.8596,                0.91154,                 0.6856,                0.86004,                0.64018,                 1.1576,              0.0090199,              0.0090199,              0.0090199
                    101,                0.68242,                0.38759,                0.99533,                0.85123,                0.89378,                0.92956,                0.71376,                0.78287,                0.60902,                 1.0221,                0.00901,                0.00901,                0.00901
                    102,                0.68707,                 0.3922,                0.99793,                0.90066,                 0.8992,                0.93489,                0.71289,                0.78526,                0.55601,                0.99294,              0.0090001,              0.0090001,              0.0090001
                    103,                0.68853,                0.39347,                 1.0003,                0.90328,                 0.9013,                0.93244,                0.70805,                 0.8127,                0.53639,                 1.0013,              0.0089902,              0.0089902,              0.0089902
                    104,                0.68893,                0.39545,                0.99993,                0.90916,                0.86347,                0.91263,                0.68327,                0.83512,                0.54643,                 1.0203,              0.0089803,              0.0089803,              0.0089803
                    105,                0.68655,                0.39273,                0.99202,                0.90301,                0.86694,                0.91548,                0.68317,                0.83273,                0.57801,                 1.0219,              0.0089704,              0.0089704,              0.0089704
                    106,                0.67731,                0.38904,                0.99084,                0.88607,                0.89337,                0.92944,                0.68998,                0.84767,                0.56898,                 1.0789,              0.0089605,              0.0089605,              0.0089605
                    107,                0.67038,                0.38712,                0.99133,                0.91172,                0.87567,                0.92716,                0.69101,                0.78058,                0.53462,                0.95634,              0.0089506,              0.0089506,              0.0089506
                    108,                0.67647,                0.39195,                0.99257,                0.89127,                0.88869,                0.93147,                0.71296,                0.70416,                 0.5119,                0.86994,              0.0089407,              0.0089407,              0.0089407
                    109,                0.68027,                0.38921,                 0.9937,                0.88825,                 0.9195,                0.93575,                0.71272,                0.75538,                0.54902,                0.94868,              0.0089308,              0.0089308,              0.0089308
                    110,                 0.6703,                0.38318,                0.98956,                0.90662,                0.91163,                 0.9411,                0.72358,                0.73493,                0.50987,                0.92943,              0.0089209,              0.0089209,              0.0089209
                    111,                0.67303,                0.38498,                0.99329,                0.89705,                0.90524,                0.93986,                0.72234,                0.72177,                0.48079,                0.90264,               0.008911,               0.008911,               0.008911
                    112,                0.67254,                0.38126,                0.99121,                 0.8764,                0.90287,                0.92887,                0.69832,                 0.8321,                0.62834,                  1.114,              0.0089011,              0.0089011,              0.0089011
                    113,                 0.6759,                0.38666,                0.98808,                0.88632,                0.89458,                0.92443,                0.69516,                0.75841,                0.59055,                0.95707,              0.0088912,              0.0088912,              0.0088912
                    114,                0.66178,                0.38116,                0.98614,                0.88625,                0.88748,                0.91761,                0.70246,                0.75683,                0.55316,                0.96015,              0.0088813,              0.0088813,              0.0088813
                    115,                0.66894,                 0.3814,                0.99113,                0.90873,                0.86911,                0.93218,                0.70851,                0.78402,                0.59034,                 1.0014,              0.0088714,              0.0088714,              0.0088714
                    116,                0.65817,                0.37955,                0.98571,                0.88326,                0.90672,                0.93451,                0.71343,                0.74789,                0.52308,                0.92598,              0.0088615,              0.0088615,              0.0088615
                    117,                0.66745,                0.38336,                0.98513,                 0.8988,                0.88854,                0.93731,                0.71105,                   0.75,                0.53129,                0.95222,              0.0088516,              0.0088516,              0.0088516
                    118,                 0.6568,                0.37571,                0.97922,                0.89256,                0.90334,                0.93352,                0.71256,                0.76164,                0.53609,                0.97691,              0.0088417,              0.0088417,              0.0088417
                    119,                 0.6637,                0.37849,                0.98615,                 0.8867,                0.90678,                0.93204,                0.71081,                 0.7801,                0.58107,                0.97458,              0.0088318,              0.0088318,              0.0088318
                    120,                0.66477,                0.37827,                0.98771,                0.90698,                0.87741,                0.92717,                0.71414,                0.71984,                0.49208,                 0.9178,              0.0088219,              0.0088219,              0.0088219
                    121,                 0.6624,                0.37847,                 0.9827,                0.89437,                0.89467,                0.92852,                0.71223,                0.72097,                0.52019,                0.93063,               0.008812,               0.008812,               0.008812
                    122,                0.64868,                 0.3712,                 0.9882,                0.88413,                0.88027,                0.91798,                0.70819,                0.71771,                0.49304,                 0.9109,              0.0088021,              0.0088021,              0.0088021
                    123,                0.65739,                 0.3763,                0.97973,                 0.8999,                0.86154,                0.92206,                0.69356,                0.82764,                 0.5698,                  1.067,              0.0087922,              0.0087922,              0.0087922
                    124,                0.65819,                0.37613,                0.97924,                0.89498,                0.89798,                0.93196,                0.70967,                0.79978,                0.51589,                 1.0255,              0.0087823,              0.0087823,              0.0087823
                    125,                0.64937,                0.36915,                0.98239,                0.90487,                0.90311,                0.93523,                0.72439,                0.72231,                0.47767,                0.90984,              0.0087724,              0.0087724,              0.0087724
                    126,                0.65487,                0.37343,                0.98611,                0.89407,                0.92489,                0.94181,                 0.7275,                0.72235,                0.47973,                0.91038,              0.0087625,              0.0087625,              0.0087625
                    127,                0.65802,                0.37496,                0.98298,                0.89527,                0.90455,                0.92733,                0.70168,                0.76719,                0.52947,                0.96671,              0.0087526,              0.0087526,              0.0087526
                    128,                0.65099,                0.37146,                0.98104,                0.89647,                0.90055,                0.92978,                 0.7032,                0.77705,                0.51666,                0.97539,              0.0087427,              0.0087427,              0.0087427
                    129,                0.65489,                0.37559,                0.97903,                0.91344,                0.90325,                0.93381,                0.70876,                 0.7435,                 0.5098,                0.94415,              0.0087328,              0.0087328,              0.0087328
                    130,                 0.6542,                0.37322,                0.97684,                0.88417,                 0.9005,                0.92492,                0.70965,                0.75581,                 0.5152,                0.96804,              0.0087229,              0.0087229,              0.0087229
                    131,                0.65333,                0.37094,                0.98071,                0.89883,                0.91276,                0.94199,                0.72789,                0.73546,                0.47087,                0.92762,               0.008713,               0.008713,               0.008713
                    132,                0.64965,                0.37205,                0.98278,                0.90724,                0.89472,                0.94074,                0.72887,                0.75961,                0.49809,                0.95016,              0.0087031,              0.0087031,              0.0087031
                    133,                0.65563,                 0.3703,                 0.9774,                0.89568,                0.89592,                0.93789,                0.72761,                 0.7529,                0.48515,                 0.9621,              0.0086932,              0.0086932,              0.0086932
                    134,                0.64448,                 0.3675,                0.97468,                0.88122,                0.89282,                0.92408,                0.71087,                0.74284,                0.51361,                0.93653,              0.0086833,              0.0086833,              0.0086833
                    135,                0.64757,                0.36622,                0.97782,                0.91181,                0.88363,                0.93284,                0.71167,                0.77011,                0.51311,                0.98127,              0.0086734,              0.0086734,              0.0086734
                    136,                0.65084,                0.37084,                0.98436,                0.89261,                0.88695,                0.92766,                0.70812,                0.79156,                0.55308,                0.98232,              0.0086635,              0.0086635,              0.0086635
                    137,                0.64612,                 0.3691,                0.97801,                0.90414,                0.90866,                0.94148,                0.72634,                0.73518,                0.47684,                0.92906,              0.0086536,              0.0086536,              0.0086536
                    138,                 0.6369,                0.36247,                0.97161,                0.90648,                0.88788,                0.93511,                0.71758,                0.73393,                0.47347,                0.93366,              0.0086437,              0.0086437,              0.0086437
                    139,                0.64303,                0.36962,                0.97607,                 0.9105,                0.90428,                0.93752,                 0.7174,                0.76167,                0.51816,                 0.9763,              0.0086338,              0.0086338,              0.0086338
                    140,                0.63914,                0.36444,                0.97559,                0.91714,                0.89157,                0.93804,                0.71846,                0.75764,                0.48947,                0.93942,              0.0086239,              0.0086239,              0.0086239
                    141,                0.63624,                0.36229,                0.97551,                0.91097,                0.89803,                0.93527,                0.71662,                0.73959,                0.51954,                0.92784,               0.008614,               0.008614,               0.008614
                    142,                0.63849,                0.36426,                0.98151,                0.90512,                0.90286,                0.93408,                0.70711,                0.83264,                0.53204,                 1.0364,              0.0086041,              0.0086041,              0.0086041
                    143,                0.63991,                0.36451,                 0.9739,                0.91051,                0.89295,                0.93239,                 0.7103,                0.76123,                0.49881,                0.94411,              0.0085942,              0.0085942,              0.0085942
                    144,                0.63655,                 0.3683,                0.97432,                0.88942,                0.89898,                0.93523,                0.70007,                0.76729,                0.49949,                 0.9356,              0.0085843,              0.0085843,              0.0085843
                    145,                 0.6471,                0.36636,                0.97688,                0.89751,                0.91642,                0.94444,                0.72765,                0.72169,                0.46689,                0.91435,              0.0085744,              0.0085744,              0.0085744
                    146,                0.64033,                0.36864,                0.97697,                0.91102,                0.91948,                0.94455,                 0.7312,                0.72565,                0.45609,                0.91454,              0.0085645,              0.0085645,              0.0085645
                    147,                0.63004,                0.36244,                0.97055,                0.90255,                0.88437,                0.92393,                0.71031,                0.73368,                0.49339,                0.92763,              0.0085546,              0.0085546,              0.0085546
                    148,                0.63744,                0.36361,                0.97543,                0.85518,                0.87678,                0.91404,                0.69833,                0.83557,                0.63504,                 1.1064,              0.0085447,              0.0085447,              0.0085447
                    149,                0.63502,                 0.3658,                0.97252,                0.91076,                0.90194,                0.93425,                0.71291,                0.77107,                0.55622,                0.98054,              0.0085348,              0.0085348,              0.0085348
                    150,                0.62783,                0.35737,                0.96988,                 0.9053,                0.89779,                0.94058,                0.72208,                0.73924,                0.49387,                0.94942,              0.0085249,              0.0085249,              0.0085249
                    151,                0.63595,                0.36133,                0.96799,                0.90509,                0.91148,                0.94239,                0.73038,                0.67845,                0.46291,                 0.8577,               0.008515,               0.008515,               0.008515
                    152,                0.62628,                0.35892,                0.97323,                0.87424,                0.90445,                0.92469,                0.70623,                0.74763,                0.50401,                0.92718,              0.0085051,              0.0085051,              0.0085051
                    153,                0.63097,                0.35886,                0.97439,                0.87818,                0.88285,                 0.9271,                0.71129,                0.76506,                0.55609,                0.96272,              0.0084952,              0.0084952,              0.0084952
                    154,                0.63415,                0.36266,                0.97322,                0.89731,                0.90349,                0.93793,                0.71396,                0.78307,                0.50795,                0.97631,              0.0084853,              0.0084853,              0.0084853
                    155,                0.63183,                0.35655,                0.97208,                0.89687,                0.89832,                0.93366,                0.70585,                0.80266,                0.57034,                 1.0069,              0.0084754,              0.0084754,              0.0084754
